Timestamp,Price
100000001,20.13
100000002,19.67
100000003,19.49
100000004,19.22
100000005,19.65
100000006,19.44
100000007,19.69
100000008,20.69
100000009,21.33
100000010,21.11
100000011,20.93
100000012,21.16
100000013,20.33
100000014,19.9
100000015,20.14
100000016,20.08
100000017,21.05
100000018,20.74
100000019,20.21
100000020,19.77
100000021,19.78
100000022,19.7
100000023,20.81
100000024,20.61
100000025,20.64
100000026,21.08
100000027,21.03
100000028,21.31
100000029,21.5
100000030,21.92
100000031,21.22
100000032,21.62
100000033,21.55
100000034,21.65
100000035,21.45
100000036,22.28
100000037,21.26
100000038,21.96
100000039,21.62
100000040,22.38
100000041,22.99
100000042,23.5
100000043,23.92
100000044,25.05
100000045,24.75
100000046,24.46
100000047,24.13
100000048,24.59
100000049,23.95
100000050,24.45
100000051,24.31
100000052,23.77
100000053,23.23
100000054,22.84
100000055,22.09
100000056,22.35
100000057,22.78
100000058,23.25
100000059,22.94
100000060,23.1
100000061,23.1
100000062,23.44
100000063,23.67
100000064,23.71
100000065,22.78
100000066,22.7
100000067,22.75
100000068,22.41
100000069,22.27
100000070,21.62
100000071,21.46
100000072,21.72
100000073,22.76
100000074,22.25
100000075,22.24
100000076,21.76
100000077,21.71
100000078,21.6
100000079,22.02
100000080,22.51
100000081,22.59
100000082,22.53
100000083,23.12
100000084,23.21
100000085,23.97
100000086,23.15
100000087,24.05
100000088,23.74
100000089,23.19
100000090,23.17
100000091,22.59
100000092,22.87
100000093,22.64
100000094,22.79
100000095,22.3
100000096,22.19
100000097,22.23
100000098,22.14
100000099,22.94
100000100,23.23
100000101,23.33
100000102,22.4
100000103,22.59
100000104,23.21
100000105,22.86
100000106,22.77
100000107,21.25
100000108,20.63
100000109,19.59
100000110,19.64
100000111,19.56
100000112,19.51
100000113,19.29
100000114,19.8
100000115,19.19
100000116,19.15
100000117,19.45
100000118,19.36
100000119,19.31
100000120,18.9
100000121,18.73
100000122,19.09
100000123,18.08
100000124,18.0
100000125,17.71
100000126,17.68
100000127,18.56
100000128,18.34
100000129,19.08
100000130,19.63
100000131,19.65
100000132,19.69
100000133,19.78
100000134,19.37
100000135,19.68
100000136,19.38
100000137,19.4
100000138,18.3
100000139,17.87
100000140,18.13
100000141,17.57
100000142,17.74
100000143,17.49
100000144,17.98
100000145,18.61
100000146,18.7
100000147,18.69
100000148,18.71
100000149,18.7
100000150,19.3
100000151,20.55
100000152,19.88
100000153,19.37
100000154,20.05
100000155,19.48
100000156,18.79
100000157,19.85
100000158,19.71
100000159,19.59
100000160,19.33
100000161,19.62
100000162,19.06
100000163,19.94
100000164,20.32
100000165,20.29
100000166,20.02
100000167,20.07
100000168,20.6
100000169,21.9
100000170,22.66
100000171,23.16
100000172,23.19
100000173,23.8
100000174,23.63
100000175,23.8
100000176,24.38
100000177,24.68
100000178,24.35
100000179,23.59
100000180,23.84
100000181,23.9
100000182,24.37
100000183,24.4
100000184,24.21
100000185,24.73
100000186,25.23
100000187,24.18
100000188,23.42
100000189,23.48
100000190,23.45
100000191,23.36
100000192,23.77
100000193,24.78
100000194,24.26
100000195,24.23
100000196,24.21
100000197,24.32
100000198,23.71
100000199,23.94
100000200,23.96
100000201,24.98
100000202,25.17
100000203,24.82
100000204,24.07
100000205,24.02
100000206,23.65
100000207,23.43
100000208,23.61
100000209,23.73
100000210,23.82
100000211,24.52
100000212,24.72
100000213,26.08
100000214,26.16
100000215,25.96
100000216,25.21
100000217,24.55
100000218,25.0
100000219,25.33
100000220,25.28
100000221,25.17
100000222,24.73
100000223,24.64
100000224,24.71
100000225,23.7
100000226,24.06
100000227,23.05
100000228,23.21
100000229,23.19
100000230,23.34
100000231,23.01
100000232,23.86
100000233,24.22
100000234,24.54
100000235,24.45
100000236,24.41
100000237,24.85
100000238,25.5
100000239,26.2
100000240,26.18
