Timestamp,Price
100000001,20.06
100000002,20.06
100000003,20.13
100000004,20.29
100000005,20.28
100000006,20.27
100000007,20.43
100000008,20.52
100000009,20.48
100000010,20.55
100000011,20.51
100000012,20.48
100000013,20.51
100000014,20.33
100000015,20.17
100000016,20.12
100000017,20.03
100000018,20.07
100000019,19.99
100000020,19.86
100000021,20.01
100000022,20.0
100000023,20.02
100000024,19.89
100000025,19.84
100000026,19.86
100000027,19.76
100000028,19.8
100000029,19.75
100000030,19.74
100000031,19.69
100000032,19.88
100000033,19.89
100000034,19.79
100000035,19.89
100000036,19.77
100000037,19.8
100000038,19.62
100000039,19.5
100000040,19.53
100000041,19.61
100000042,19.64
100000043,19.63
100000044,19.61
100000045,19.48
100000046,19.41
100000047,19.38
100000048,19.49
100000049,19.54
100000050,19.37
100000051,19.42
100000052,19.39
100000053,19.33
100000054,19.4
100000055,19.51
100000056,19.62
100000057,19.54
100000058,19.52
100000059,19.56
100000060,19.67
100000061,19.63
100000062,19.63
100000063,19.52
100000064,19.42
100000065,19.51
100000066,19.65
100000067,19.66
100000068,19.77
100000069,19.81
100000070,19.76
100000071,19.8
100000072,19.97
100000073,19.97
100000074,20.14
100000075,19.89
100000076,19.98
100000077,20.0
100000078,19.98
100000079,20.0
100000080,19.81
100000081,19.8
100000082,19.84
100000083,20.0
100000084,19.96
100000085,19.89
100000086,19.85
100000087,19.95
100000088,19.99
100000089,19.95
100000090,20.01
100000091,20.03
100000092,20.14
100000093,20.08
100000094,20.05
100000095,20.03
100000096,19.89
100000097,19.93
100000098,19.96
100000099,19.97
100000100,19.96
100000101,19.83
100000102,19.8
100000103,19.77
100000104,19.7
100000105,19.7
100000106,19.75
100000107,19.95
100000108,19.97
100000109,20.01
100000110,20.01
100000111,19.83
100000112,19.84
100000113,19.85
100000114,20.11
100000115,20.1
100000116,20.14
100000117,20.15
100000118,20.04
100000119,20.16
100000120,20.25
100000121,20.34
100000122,20.26
100000123,20.41
100000124,20.28
100000125,20.35
100000126,20.58
100000127,20.49
100000128,20.44
